Observation,HHSEX,AGE,EDUC,MARRIED,KIDS,LF,FAMSTRUCT,RACE,FOODHOME,FOODAWAY,FOODDELV,INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,SSRETINC,TRANSFOTHINC,PENACCTWD,NORMINC,SAVED,BNKRUPLAST5,KNOWL
82,1,48,13,1,2,1,4,1,12000,3600,0,0,40505.45663,405045.4526,303.7909248,0,0,0,0,0,1,0,10
83,1,59,8,1,0,1,5,1,2600,5200,0,139338.7708,139136.2435,0,0,0,0,0,0,139338.7708,1,0,10
84,1,51,12,1,1,1,4,1,18044,14560,0,1555409.535,0,1354907.524,168097.645,-101263.6416,0,0,0,10966852.38,1,0,10
85,1,57,12,1,2,1,4,1,12000,3600,600,1304275.704,1012636.416,202527.2832,86580.41356,0,0,0,0,708845.4911,1,0,9
86,1,65,12,1,1,1,4,1,8400,4800,1200,550266.6284,405054.5663,0,0,0,99643.42332,0,72000,550266.6284,1,0,7
87,1,57,9,1,0,1,5,1,5200,5200,0,54884.89374,20860.31017,32926.8857,0,1093.647329,0,0,0,54884.89374,1,0,10
88,2,59,12,2,0,1,3,1,2600,5200,0,121516.3699,0,121516.3699,0,0,0,0,0,121516.3699,1,0,10
89,2,29,8,2,1,1,1,1,3600,2600,0,17012.29179,17214.81907,0,0,0,0,0,0,17012.29179,1,0,10
90,1,51,13,1,1,1,4,1,7200,6000,0,260247.5589,108352.0965,149667.6623,0,0,0,2329.063757,0,182274.5549,1,0,9
91,1,57,9,1,1,1,4,1,6000,24000,0,3586758.185,101263.6416,3037909.248,209615.7381,303790.9248,0,0,0,2531591.04,1,0,10
92,1,42,14,2,3,1,1,1,15000,20000,2000,709858.1275,101263.6416,579228.0299,29366.45606,0,0,0,0,709858.1275,1,0,8
93,1,56,13,1,0,1,5,1,7280,12792,0,6223663.412,50631.82079,454876.278,1383058.817,3746754.739,0,0,0,6223663.412,1,0,10
94,1,66,8,2,0,0,3,1,2688,0,0,11139.00057,0,0,0,0,10065.60597,1255.669156,0,11139.00057,0,0,8
95,1,63,8,1,0,1,5,1,2400,3016,0,0,0,5985.693854,1.012636416,3422.711086,11139.00057,0,0,20252.72832,1,0,10
96,1,46,9,1,0,0,5,1,2400,2080,0,30379.09248,30379.09248,0,0,0,0,0,0,30379.09248,0,0,9
97,2,26,7,2,2,1,1,2,2400,1200,480,46581.27513,40505.45663,0,0,0,0,5954.302125,0,46581.27513,1,0,4
98,2,61,8,2,0,0,3,1,2304,0,0,5670.763929,0,0,0,0,0,5569.500287,0,70884.54911,0,0,10
99,1,74,5,2,0,0,3,1,260,720,0,13366.80069,0,0,0,0,11544.05514,0,0,13366.80069,1,0,1
100,1,55,13,1,0,1,5,1,31824,6000,0,4459650.775,3602960.368,-22075.47387,458926.8237,54682.36646,121921.4245,0,0,4459650.775,1,0,9
101,1,63,12,1,0,1,5,1,7200,18000,0,3315371.626,0,2762472.142,117465.8242,128604.8248,0,0,0,3315371.626,1,0,10
102,1,61,13,1,2,1,4,1,7800,2600,0,132655.3705,133060.425,0,0,0,0,66.83400345,0,132655.3705,0,1,10
103,1,29,10,1,1,1,4,1,6240,1440,0,36454.91097,36454.91097,0,0,0,0,0,0,36454.91097,0,0,6
